Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Sargis Adamyan,am ARM,FWMF,Köln,29-145,1993,2.9,1,7,4,57.1,2.45,1.40,0.14,0.25,12.0,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches,22919e97
2,Karim Adeyemi,de GER,FWMF,Dortmund,20-270,2002,2.3,0,6,4,66.7,2.61,1.74,0.00,0.00,14.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches,501055d8
3,Amine Adli,fr FRA,FWDF,Leverkusen,22-158,2000,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,12.0,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches,dcfb17f4
4,Felix Agu,de GER,DF,Werder Bremen,23-018,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cb6d81b3
5,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-200,2002,8.3,1,5,2,40.0,0.60,0.24,0.20,0.50,21.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,a6c58494
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-179,1995,5.4,0,1,0,0.0,0.18,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,6ec6fde0
7,Lucas Alario,ar ARG,FW,Eint Frankfurt,30-007,1992,2.3,0,7,1,14.3,3.01,0.43,0.00,0.00,15.3,0,0,0,1.4,1.4,0.20,-1.4,-1.4,Matches,834d0be5
8,Faride Alidou,de GER,DFFW,Eint Frankfurt,21-089,2001,1.0,0,1,0,0.0,0.96,0.00,0.00,,14.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,00f518d8
9,Nadiem Amiri,de GER,MFFW,Leverkusen,25-353,1996,0.8,0,1,1,100.0,1.22,1.22,0.00,0.00,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,555d5edd
10,Robert Andrich,de GER,MF,Leverkusen,28-023,1994,5.9,0,7,1,14.3,1.19,0.17,0.00,0.00,17.5,1,0,0,1.0,1.0,0.15,-1.0,-1.0,Matches,e0b113a7
11,Angeliño,es ESP,DF,Hoffenheim,25-284,1997,8.0,0,8,3,37.5,0.99,0.37,0.00,0.00,19.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,30941e96
12,Waldemar Anton,de GER,DF,Stuttgart,26-087,1996,8.9,0,4,1,25.0,0.45,0.11,0.00,0.00,21.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,5e66fa06
13,Christopher Antwi-Adjei,gh GHA,FW,Bochum,28-250,1994,1.1,0,2,0,0.0,1.87,0.00,0.00,,11.8,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,0a3f6cde
14,Charles Aránguiz,cl CHI,MF,Leverkusen,33-181,1989,5.0,1,5,2,40.0,1.00,0.40,0.20,0.50,17.5,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,56413b1f
15,Maximilian Arnold,de GER,MF,Wolfsburg,28-141,1994,8.5,1,8,3,37.5,0.94,0.35,0.13,0.33,27.6,1,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches,86e119e0
16,Takuma Asano,jp JPN,MFFW,Bochum,27-339,1994,4.4,0,8,3,37.5,1.80,0.68,0.00,0.00,18.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,13ddc856
17,Mehmet-Can Aydin,de GER,DF,Schalke 04,20-248,2002,1.3,0,2,0,0.0,1.53,0.00,0.00,,11.9,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,fe46e261
18,Sardar Azmoun,ir IRN,MFFW,Leverkusen,27-287,1995,3.1,0,11,4,36.4,3.52,1.28,0.00,0.00,10.3,0,0,0,1.5,1.5,0.13,-1.5,-1.5,Matches,10549b49
19,Mitchel Bakker,nl NED,DF,Leverkusen,22-117,2000,3.6,0,4,1,25.0,1.13,0.28,0.00,0.00,26.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,a8567629
20,Ridle Baku,de GER,DF,Wolfsburg,24-190,1998,8.3,0,7,2,28.6,0.84,0.24,0.00,0.00,18.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,442b56fa
21,Aymen Barkok,ma MAR,MF,Mainz 05,24-147,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2a85828
22,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22-285,2000,4.3,0,5,2,40.0,1.17,0.47,0.00,0.00,16.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,00242b75
23,Maximilian Bauer,de GER,DF,Augsburg,22-248,2000,8.0,0,6,0,0.0,0.75,0.00,0.00,,7.9,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches,44a20f0c
24,Oliver Baumann,de GER,GK,Hoffenheim,32-135,1990,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,47064058
25,Timo Baumgartl,de GER,DF,Union Berlin,26-225,1996,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,10.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,bd7d2e6d
26,Julian Baumgartlinger,at AUT,MF,Augsburg,34-286,1988,0.7,0,1,0,0.0,1.48,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,69374ff5
27,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,23-075,1999,8.1,2,26,7,26.9,3.21,0.86,0.08,0.29,15.4,0,0,0,3.1,3.1,0.12,-1.1,-1.1,Matches,437f2b00
28,Sheraldo Becker,sr SUR,FW,Union Berlin,27-248,1995,7.2,6,17,10,58.8,2.35,1.38,0.35,0.60,18.1,0,0,0,1.1,1.1,0.07,+4.9,+4.9,Matches,8eb55dbb
29,Kevin Behrens,de GER,FW,Union Berlin,31-254,1991,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,22.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,30ae134d
30,Stefan Bell,de GER,DF,Mainz 05,31-052,1991,7.7,0,2,0,0.0,0.26,0.00,0.00,,7.5,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches,857a5abe
31,Karim Bellarabi,de GER,FW,Leverkusen,32-190,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bee0bab1
32,Jude Bellingham,eng ENG,MF,Dortmund,19-108,2003,9.0,0,21,6,28.6,2.33,0.67,0.00,0.00,14.7,0,0,0,2.1,2.1,0.10,-2.1,-2.1,Matches,57d88cf9
33,Ramy Bensebaini,dz ALG,DF,M'Gladbach,27-182,1995,7.9,4,12,5,41.7,1.52,0.63,0.25,0.60,13.6,1,1,1,2.8,2.0,0.17,+1.2,+1.0,Matches,378825c7
34,Mergim Berisha,de GER,FW,Augsburg,24-157,1998,3.6,1,10,2,20.0,2.81,0.56,0.10,0.50,16.3,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches,eb6e14be
35,Leonardo Bittencourt,de GER,MF,Werder Bremen,28-300,1993,3.4,2,5,3,60.0,1.49,0.89,0.40,0.67,20.5,0,0,0,0.2,0.2,0.05,+1.8,+1.8,Matches,dc62fbee
36,Janis Blaswich,de GER,GK,RB Leipzig,31-166,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,663e080e
37,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,35-223,1987,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f4ec4fd0
38,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,28-207,1994,2.8,0,4,3,75.0,1.43,1.08,0.00,0.00,19.6,0,0,0,0.5,0.5,0.14,-0.5,-0.5,Matches,635f2732
39,Yvandro Borges Sanches,lu LUX,MFFW,M'Gladbach,18-144,2004,0.2,0,1,0,0.0,4.09,0.00,0.00,,38.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,36578017
40,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,23-207,1999,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01834aa0
41,Rafael Borré,co COL,FW,Eint Frankfurt,27-030,1995,3.8,1,8,2,25.0,2.11,0.53,0.00,0.00,15.1,0,1,1,1.7,0.9,0.11,-0.7,-0.9,Matches,c68da769
42,Julian Brandt,de GER,FWMF,Dortmund,26-166,1996,6.6,2,5,4,80.0,0.76,0.61,0.40,0.50,16.8,0,0,0,0.8,0.8,0.17,+1.2,+1.2,Matches,a167537f
43,Josip Brekalo,hr CRO,MFFW,Wolfsburg,24-114,1998,2.9,0,2,1,50.0,0.69,0.34,0.00,0.00,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,d4a2533d
44,Cédric Brunner,ch SUI,DF,Schalke 04,28-240,1994,6.5,0,2,0,0.0,0.31,0.00,0.00,,16.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,f0a37d36
45,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,24-026,1998,1.5,0,3,1,33.3,1.96,0.65,0.00,0.00,9.5,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,4e204552
46,Lee Buchanan,eng ENG,DF,Werder Bremen,21-222,2001,1.3,1,4,1,25.0,3.05,0.76,0.25,1.00,21.0,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches,45e95f21
47,Marius Bülter,de GER,FWMF,Schalke 04,29-200,1993,8.7,3,12,4,33.3,1.38,0.46,0.08,0.25,16.5,0,2,2,2.1,0.6,0.05,+0.9,+0.4,Matches,ab5b7dc1
48,Delano Burgzorg,nl NED,FW,Mainz 05,23-342,1998,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,21.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,05e2d5ea
49,Jonathan Burkardt,de GER,MFFW,Mainz 05,22-096,2000,3.1,0,8,2,25.0,2.54,0.64,0.00,0.00,13.8,0,0,0,1.0,1.0,0.13,-1.0,-1.0,Matches,05f99a4a
50,Oliver Burke,sct SCO,FW,Werder Bremen,25-191,1997,1.4,2,5,3,60.0,3.63,2.18,0.40,0.67,15.9,0,0,0,0.7,0.7,0.14,+1.3,+1.3,Matches,f631c17f
51,Jamie Bynoe-Gittens,eng ENG,FWMF,Dortmund,18-068,2004,1.8,1,4,2,50.0,2.24,1.12,0.25,0.50,14.6,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,10745192
52,Anthony Caci,fr FRA,DF,Mainz 05,25-106,1997,2.8,1,2,1,50.0,0.72,0.36,0.50,1.00,10.9,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches,0118c54c
53,Kerim Calhanoglu,de GER,DFMF,Schalke 04,20-050,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d1db4b83
54,Daniel Caligiuri,it ITA,DF,Augsburg,34-273,1988,2.2,0,4,1,25.0,1.80,0.45,0.00,0.00,18.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,d1273f09
55,Emre Can,de GER,MF,Dortmund,28-276,1994,2.2,0,1,0,0.0,0.46,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,a65ce836
56,Koen Casteels,be BEL,GK,Wolfsburg,30-112,1992,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,db401046
57,Julian Chabot,de GER,DF,Köln,24-245,1998,1.4,0,3,0,0.0,2.14,0.00,0.00,,3.2,0,0,0,0.7,0.7,0.23,-0.7,-0.7,Matches,ae7058f9
58,Timothy Chandler,us USA,DF,Eint Frankfurt,32-200,1990,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3b7f5a6
59,Oliver Christensen,dk DEN,GK,Hertha BSC,23-207,1999,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,af104654
60,Darko Churlinov,mk MKD,FW,Stuttgart,22-096,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c6608135
61,Kingsley Coman,fr FRA,MFFW,Bayern Munich,26-124,1996,3.3,1,9,1,11.1,2.74,0.30,0.11,1.00,16.7,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,042e8a49
62,Danny da Costa,de GER,DF,Mainz 05,29-094,1993,1.7,0,1,0,0.0,0.59,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,5ddb8f9f
63,Moanes Dabbur,il ISR,FW,Hoffenheim,30-154,1992,3.9,4,11,9,81.8,2.85,2.33,0.36,0.44,15.4,0,0,0,1.8,1.8,0.16,+2.2,+2.2,Matches,eac044ad
64,Mahmoud Dahoud,de GER,MF,Dortmund,26-287,1996,2.0,0,3,0,0.0,1.48,0.00,0.00,,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,db4ed67b
65,Muhammed Damar,de GER,MF,Hoffenheim,18-189,2004,0.9,0,1,0,0.0,1.08,0.00,0.00,,6.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,d3d77413
66,Márton Dárdai,de GER,DF,Hertha BSC,20-245,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,41bff4fa
67,Vladimír Darida,cz CZE,MF,Hertha BSC,32-068,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3eb0f2df
68,Alphonso Davies,ca CAN,DF,Bayern Munich,21-347,2000,7.4,0,6,3,50.0,0.81,0.40,0.00,0.00,18.8,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,d781d855
69,Kerem Demirbay,de GER,MF,Leverkusen,29-104,1993,5.9,3,9,3,33.3,1.53,0.51,0.33,1.00,20.8,4,0,0,0.7,0.7,0.08,+2.3,+2.3,Matches,54b4dc4e
70,Ermedin Demirović,ba BIH,FWMF,Augsburg,24-204,1998,7.0,4,17,10,58.8,2.44,1.44,0.24,0.40,13.3,0,0,0,2.1,2.1,0.13,+1.9,+1.9,Matches,ed79b7d3
71,Sepp van den Berg,nl NED,DF,Schalke 04,20-299,2001,3.6,0,3,0,0.0,0.84,0.00,0.00,,12.2,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches,7bf9400b
72,Moussa Diaby,fr FRA,FW,Leverkusen,23-100,1999,8.4,1,16,10,62.5,1.90,1.19,0.06,0.10,17.2,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches,aeed5c06
73,Abdou Diallo,sn SEN,DF,RB Leipzig,26-164,1996,1.8,0,2,0,0.0,1.08,0.00,0.00,,5.1,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches,fc62f087
74,Florian Dietz,de GER,FW,Köln,24-073,1998,4.0,1,16,5,31.3,4.01,1.25,0.06,0.20,11.7,0,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches,8779ddf8
75,Junior Dina Ebimbe,fr FRA,MF,Eint Frankfurt,21-328,2000,2.1,0,2,0,0.0,0.94,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,95bb6ddc
76,Ritsu Doan,jp JPN,FW,Freiburg,24-121,1998,7.2,2,17,7,41.2,2.35,0.97,0.12,0.29,16.8,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches,d01bbb6f
77,Danilho Doekhi,nl NED,DF,Union Berlin,24-107,1998,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f67c9d29
78,Dominick Drexler,de GER,MFFW,Schalke 04,32-142,1990,5.9,1,4,1,25.0,0.67,0.17,0.25,1.00,15.4,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,809940aa
79,Marvin Ducksch,de GER,FWMF,Werder Bremen,28-222,1994,8.5,2,29,18,62.1,3.42,2.12,0.07,0.11,18.1,2,0,1,3.1,2.3,0.08,-1.1,-0.3,Matches,638a4d71
80,Ondrej Duda,sk SVK,MF,Köln,27-314,1994,4.0,0,6,2,33.3,1.48,0.49,0.00,0.00,17.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,79ca3e23
81,Maximilian Eggestein,de GER,MF,Freiburg,25-311,1996,7.1,0,4,1,25.0,0.57,0.14,0.00,0.00,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,beb882a8
82,Lilian Egloff,de GER,MFFW,Stuttgart,20-056,2002,1.7,0,6,0,0.0,3.48,0.00,0.00,,19.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,2f7fec15
83,Kingsley Ehizibue,nl NED,DF,Köln,27-143,1995,0.7,0,1,1,100.0,1.48,1.48,0.00,0.00,38.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,76b2817e
84,Chidera Ejuke,ng NGA,FW,Hertha BSC,24-286,1998,6.8,0,15,3,20.0,2.20,0.44,0.00,0.00,19.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,e7f3e8a7
85,Nico Elvedi,ch SUI,DF,M'Gladbach,26-015,1996,7.5,1,5,2,40.0,0.67,0.27,0.20,0.50,9.0,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,48035304
86,Wataru Endo,jp JPN,MF,Stuttgart,29-248,1993,8.6,1,14,4,28.6,1.63,0.47,0.07,0.25,18.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,c149016b
