Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls▼,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Erling Haaland,no NOR,FW,Manchester City,22-084,2000,8.3,15,38,20,52.6,4.55,2.40,0.37,0.70,10.9,0,1,1,9.0,8.2,0.22,+6.0,+5.8,Matches,1f44ac21
2,Harry Kane,eng ENG,FW,Tottenham,29-077,1993,8.8,8,30,13,43.3,3.39,1.47,0.23,0.54,17.6,0,1,2,6.1,4.5,0.15,+1.9,+2.5,Matches,21a66f6a
3,Roberto Firmino,br BRA,FWMF,Liverpool,31-011,1991,5.2,6,19,13,68.4,3.67,2.51,0.32,0.46,12.8,0,0,0,2.9,2.9,0.17,+3.1,+3.1,Matches,4c370d81
4,Phil Foden,eng ENG,FW,Manchester City,22-138,2000,7.3,6,20,12,60.0,2.74,1.64,0.30,0.50,12.1,0,0,0,3.5,3.5,0.17,+2.5,+2.5,Matches,ed1e53f3
5,Aleksandar Mitrović,rs SRB,FW,Fulham,28-027,1994,7.4,6,29,14,48.3,3.93,1.90,0.17,0.36,14.3,0,1,2,5.0,3.4,0.12,+1.0,+1.6,Matches,3925dbd6
6,Ivan Toney,eng ENG,FW,Brentford,26-211,1996,9.0,6,23,6,26.1,2.56,0.67,0.17,0.67,14.6,3,2,2,4.4,2.8,0.12,+1.6,+1.2,Matches,e09f279b
7,Gabriel Jesus,br BRA,FW,Arsenal,25-193,1997,8.6,5,30,15,50.0,3.47,1.74,0.17,0.33,9.4,0,0,0,5.4,5.4,0.18,-0.4,-0.4,Matches,b66315ae
8,James Maddison,eng ENG,MFFW,Leicester City,25-324,1996,7.9,5,25,10,40.0,3.15,1.26,0.20,0.50,21.3,5,0,0,1.2,1.2,0.05,+3.8,+3.8,Matches,ee38d9c5
9,Leandro Trossard,be BEL,DFFW,Brighton,27-313,1994,7.4,5,19,8,42.1,2.56,1.08,0.26,0.63,15.6,0,0,0,2.6,2.6,0.14,+2.4,+2.4,Matches,38ceb24a
10,Miguel Almirón,py PAR,FW,Newcastle Utd,28-245,1994,8.3,4,21,7,33.3,2.53,0.84,0.19,0.57,16.2,0,0,0,3.1,3.1,0.15,+0.9,+0.9,Matches,862a1c15
11,Alexis Mac Allister,ar ARG,MF,Brighton,23-293,1998,8.0,4,10,3,30.0,1.25,0.37,0.10,0.33,30.0,2,3,3,2.8,0.4,0.04,+1.2,+0.6,Matches,83d074ff
12,Martinelli,br BRA,FW,Arsenal,21-117,2001,8.7,4,26,11,42.3,3.00,1.27,0.15,0.36,17.0,2,0,0,2.5,2.5,0.10,+1.5,+1.5,Matches,48a5a5d6
13,Rodrigo,es ESP,FWMF,Leeds United,31-221,1991,5.7,4,23,7,30.4,4.03,1.23,0.17,0.57,16.8,1,0,0,2.5,2.5,0.11,+1.5,+1.5,Matches,1fb1c435
14,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,29-337,1992,6.9,4,19,9,47.4,2.75,1.30,0.21,0.44,17.0,0,0,1,2.9,2.0,0.10,+1.1,+2.0,Matches,b2bc3b1f
15,Antony,br BRA,FW,Manchester Utd,22-231,2000,2.6,3,10,5,50.0,3.81,1.91,0.30,0.60,22.1,0,0,0,0.8,0.8,0.08,+2.2,+2.2,Matches,99127249
16,Philip Billing,dk DEN,MFFW,Bournemouth,26-124,1996,7.2,3,6,3,50.0,0.84,0.42,0.50,1.00,18.7,1,0,0,0.4,0.4,0.06,+2.6,+2.6,Matches,d328a254
17,Patson Daka,zm ZAM,FW,Leicester City,24-004,1998,3.7,3,10,7,70.0,2.69,1.89,0.30,0.43,13.5,0,0,0,1.8,1.8,0.18,+1.2,+1.2,Matches,ca45605e
18,Luis Díaz,co COL,FW,Liverpool,25-273,1997,6.8,3,17,8,47.1,2.50,1.17,0.18,0.38,12.8,0,0,0,2.1,2.1,0.12,+0.9,+0.9,Matches,4a1a9578
19,Pascal Groß,de GER,MFFW,Brighton,31-120,1991,7.6,3,10,5,50.0,1.31,0.66,0.30,0.60,15.9,0,0,0,1.9,1.9,0.19,+1.1,+1.1,Matches,8aec0537
20,Son Heung-min,kr KOR,MFFW,Tottenham,30-097,1992,7.4,3,23,13,56.5,3.09,1.75,0.13,0.23,16.1,1,0,0,2.5,2.5,0.11,+0.5,+0.5,Matches,92e7e919
21,Martin Ødegaard,no NOR,MF,Arsenal,23-300,1998,7.3,3,18,7,38.9,2.48,0.96,0.17,0.43,17.9,2,0,0,2.2,2.2,0.12,+0.8,+0.8,Matches,79300479
22,Marcus Rashford,eng ENG,FW,Manchester Utd,24-347,1997,7.4,3,16,4,25.0,2.16,0.54,0.19,0.75,16.4,0,0,0,2.1,2.1,0.13,+0.9,+0.9,Matches,a1d5bd30
23,Bukayo Saka,eng ENG,FW,Arsenal,21-038,2001,8.8,3,23,7,30.4,2.60,0.79,0.09,0.29,15.3,0,1,1,3.7,2.9,0.13,-0.7,-0.9,Matches,bc7dc64d
24,Raheem Sterling,eng ENG,FWMF,Chelsea,27-309,1994,6.7,3,14,5,35.7,2.09,0.75,0.21,0.60,12.3,0,0,0,3.0,3.0,0.22,0.0,0.0,Matches,b400bde0
25,Callum Wilson,eng ENG,FW,Newcastle Utd,30-228,1992,4.4,3,14,5,35.7,3.21,1.15,0.21,0.60,9.5,0,0,0,3.3,3.3,0.24,-0.3,-0.3,Matches,c596fcb0
26,Che Adams,sct SCO,FW,Southampton,26-092,1996,7.1,2,14,5,35.7,1.96,0.70,0.14,0.40,12.7,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches,f2bf1b0f
27,Julián Álvarez,ar ARG,FWMF,Manchester City,22-255,2000,2.3,2,7,4,57.1,3.04,1.74,0.29,0.50,15.1,0,0,0,0.8,0.8,0.12,+1.2,+1.2,Matches,15ab5a2b
28,Michail Antonio,jm JAM,FW,West Ham,32-199,1990,5.4,2,13,5,38.5,2.39,0.92,0.15,0.40,12.2,0,0,0,2.0,2.0,0.17,0.0,0.0,Matches,ac05f970
29,Joe Aribo,ng NGA,MFFW,Southampton,26-084,1996,6.8,2,8,5,62.5,1.18,0.74,0.25,0.40,9.0,0,0,0,1.2,1.2,0.14,+0.8,+0.8,Matches,328f7d51
30,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-062,1997,4.0,2,11,4,36.4,2.73,0.99,0.18,0.50,11.4,0,0,0,2.2,2.2,0.20,-0.2,-0.2,Matches,e5478b87
31,Harvey Barnes,eng ENG,MFFW,Leicester City,24-308,1997,6.3,2,18,7,38.9,2.84,1.11,0.11,0.29,16.2,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches,3ea50f67
32,Jarrod Bowen,eng ENG,FW,West Ham,25-297,1996,8.9,2,23,4,17.4,2.58,0.45,0.04,0.25,15.6,0,1,1,2.7,1.9,0.08,-0.7,-0.9,Matches,79c84d1c
33,João Cancelo,pt POR,DF,Manchester City,28-139,1994,8.2,2,9,2,22.2,1.10,0.24,0.22,1.00,22.3,0,0,0,0.3,0.3,0.04,+1.7,+1.7,Matches,bd6351cd
34,Fabio Carvalho,pt POR,MFFW,Liverpool,20-044,2002,2.2,2,7,3,42.9,3.18,1.36,0.29,0.67,11.7,0,0,0,0.7,0.7,0.09,+1.3,+1.3,Matches,966e28d0
35,Josh Dasilva,eng ENG,MF,Brentford,23-355,1998,5.0,2,4,3,75.0,0.81,0.60,0.50,0.67,17.2,0,0,0,0.2,0.2,0.04,+1.8,+1.8,Matches,60344e4f
36,Eric Dier,eng ENG,DF,Tottenham,28-271,1994,9.0,2,6,3,50.0,0.67,0.33,0.33,0.67,12.1,1,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches,ac861941
37,Odsonne Édouard,fr FRA,FW,Crystal Palace,24-270,1998,5.0,2,10,6,60.0,1.99,1.19,0.20,0.33,10.2,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Matches,0562b7f1
38,Anthony Gordon,eng ENG,FW,Everton,21-231,2001,7.6,2,18,13,72.2,2.36,1.70,0.11,0.15,16.6,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches,2bd83368
39,Bruno Guimarães,br BRA,MF,Newcastle Utd,24-331,1997,5.3,2,3,2,66.7,0.57,0.38,0.67,1.00,20.1,0,0,0,0.2,0.2,0.07,+1.8,+1.8,Matches,82518f62
40,İlkay Gündoğan,de GER,MF,Manchester City,31-354,1990,5.9,2,12,3,25.0,2.02,0.51,0.17,0.67,17.3,2,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches,819b3158
41,Kai Havertz,de GER,FWMF,Chelsea,23-124,1999,6.5,2,14,6,42.9,2.15,0.92,0.14,0.33,11.3,0,0,0,1.9,1.9,0.14,+0.1,+0.1,Matches,fed7cb61
42,Pierre Højbjerg,dk DEN,MF,Tottenham,27-069,1995,8.8,2,8,4,50.0,0.91,0.45,0.25,0.50,21.3,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches,8b04d6c1
43,Alexander Isak,se SWE,FW,Newcastle Utd,23-022,1999,2.7,2,7,5,71.4,2.60,1.86,0.14,0.20,13.8,0,1,1,2.2,1.4,0.20,-0.2,-0.4,Matches,8e92be30
44,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-143,2001,8.6,2,11,3,27.3,1.29,0.35,0.09,0.33,17.3,0,1,1,1.5,0.7,0.07,+0.5,+0.3,Matches,0cd31129
45,Anthony Martial,fr FRA,FW,Manchester Utd,26-312,1995,1.2,2,1,1,100.0,0.86,0.86,1.00,1.00,17.0,0,1,1,1.1,0.4,0.36,+0.9,+0.6,Matches,8b788c01
46,Bryan Mbeumo,cm CMR,FWDF,Brentford,23-067,1999,7.5,2,17,7,41.2,2.27,0.93,0.12,0.29,17.0,0,0,0,1.8,1.8,0.11,+0.2,+0.2,Matches,6afaebf2
47,Darwin Núñez,uy URU,FW,Liverpool,23-111,1999,3.0,2,19,6,31.6,6.40,2.02,0.11,0.33,12.7,0,0,0,2.6,2.6,0.14,-0.6,-0.6,Matches,4d77b365
48,João Palhinha,pt POR,MF,Fulham,27-096,1995,7.9,2,8,4,50.0,1.01,0.51,0.25,0.50,14.8,0,0,0,0.5,0.5,0.06,+1.5,+1.5,Matches,a78ff07f
49,Daniel Podence,pt POR,MFFW,Wolves,26-357,1995,6.6,2,14,5,35.7,2.13,0.76,0.14,0.40,18.1,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches,7fcc71d8
50,Bobby Reid,jm JAM,FWDF,Fulham,29-253,1993,8.6,2,10,3,30.0,1.16,0.35,0.20,0.67,10.0,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Matches,0f7533cd
51,Mohamed Salah,eg EGY,FW,Liverpool,30-120,1992,7.8,2,23,7,30.4,2.97,0.90,0.09,0.29,14.4,0,0,0,3.3,3.3,0.14,-1.3,-1.3,Matches,e342ad68
52,William Saliba,fr FRA,DF,Arsenal,21-203,2001,9.0,2,3,2,66.7,0.33,0.22,0.67,1.00,12.9,0,0,0,0.3,0.3,0.09,+1.7,+1.7,Matches,972aeb2a
53,Jadon Sancho,eng ENG,FW,Manchester Utd,22-202,2000,5.4,2,4,3,75.0,0.74,0.55,0.50,0.67,12.4,0,0,0,1.1,1.1,0.28,+0.9,+0.9,Matches,dbf053da
