Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Marcos Acuña,ar ARG,DF,Sevilla,30-352,1991,4.5,0,6,0,0.0,1.33,0.00,0.00,,21.8,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,81442ecb
2,Álvaro Aguado,es ESP,MF,Valladolid,26-167,1996,5.0,0,2,0,0.0,0.40,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,014aa7bd
3,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-016,1995,8.0,0,2,0,0.0,0.25,0.00,0.00,,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,18abe173
4,Sergio Akieme,es ESP,DF,Almería,24-303,1997,8.0,0,7,2,28.6,0.87,0.25,0.00,0.00,24.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,06efa9dc
5,Paul Akouokou,ci CIV,MF,Betis,24-299,1997,1.3,0,1,1,100.0,0.77,0.77,0.00,0.00,23.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,31f5b89b
6,David Alaba,at AUT,DF,Real Madrid,30-113,1992,7.0,1,9,1,11.1,1.28,0.14,0.11,1.00,20.1,4,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches,05439de2
7,Tomás Alarcón,cl CHI,MF,Cádiz,23-269,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,36.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,99ea2ddd
8,Jordi Alba,es ESP,DF,Barcelona,33-208,1989,3.2,0,2,0,0.0,0.62,0.00,0.00,,20.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,4601e194
9,Raúl Albiol,es ESP,DF,Villarreal,37-041,1985,8.0,0,1,0,0.0,0.12,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,4bd414c1
10,Rubén Alcaraz,es ESP,MF,Cádiz,31-167,1991,2.4,0,5,0,0.0,2.11,0.00,0.00,,20.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,036bba5f
11,Iván Alejo,es ESP,MFFW,Cádiz,27-247,1995,5.4,0,6,1,16.7,1.11,0.18,0.00,0.00,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,3d7e48ce
12,Carles Aleñá,es ESP,MF,Getafe,24-283,1998,7.6,1,11,3,27.3,1.45,0.39,0.09,0.33,23.5,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,6c811eb7
13,Alejandro Alfaro,es ESP,MF,Elche,20-122,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b907d169
14,Ángel Algobia,es ESP,MF,Getafe,23-114,1999,2.4,0,1,0,0.0,0.41,0.00,0.00,,35.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,acc1aefa
15,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,18-269,2004,2.7,0,9,5,55.6,3.33,1.85,0.00,0.00,19.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,f8405304
16,Domingos André Ribeiro Almeida,pt POR,MFFW,Valencia,22-138,2000,3.2,1,1,1,100.0,0.31,0.31,1.00,1.00,14.3,0,0,0,0.2,0.2,0.17,+0.8,+0.8,Matches,e6697917
17,Marcos Alonso,es ESP,DF,Barcelona,31-291,1990,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f4290206
18,Gastón Álvarez,uy URU,DF,Getafe,22-205,2000,4.5,2,2,2,100.0,0.45,0.45,1.00,1.00,8.1,0,0,0,0.8,0.8,0.42,+1.2,+1.2,Matches,852ddfb8
19,Yeray Álvarez,es ESP,DF,Athletic Club,27-264,1995,6.8,0,5,0,0.0,0.74,0.00,0.00,,17.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,3ecc11d8
20,Amath,sn SEN,FWMF,Mallorca,26-091,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f3b1d9a2
21,Jordan Amavi,fr FRA,DF,Getafe,28-220,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,22721b88
22,Fabrizio Angileri,ar ARG,DF,Getafe,28-214,1994,5.1,0,3,0,0.0,0.59,0.00,0.00,,24.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,fdd26d71
23,Anuar,ma MAR,MFFW,Valladolid,27-273,1995,2.3,1,3,1,33.3,1.29,0.43,0.33,1.00,11.2,0,0,0,0.8,0.8,0.26,+0.2,+0.2,Matches,c93231dc
24,Mauro Arambarri,uy URU,MF,Getafe,27-015,1995,5.7,0,5,0,0.0,0.88,0.00,0.00,,27.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,58afe001
25,Ronald Araújo,uy URU,DF,Barcelona,23-222,1999,5.7,0,3,0,0.0,0.53,0.00,0.00,,14.3,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Matches,2bef2bca
26,Roberto Arroyo,es ESP,MF,Valladolid,19-051,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6091cf45
27,Santiago Arzamendia,py PAR,MFDF,Cádiz,24-163,1998,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,20.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,759d8dd7
28,Sergio Asenjo,es ESP,GK,Valladolid,33-109,1989,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f0ea33f
29,Marco Asensio,es ESP,FWMF,Real Madrid,26-267,1996,0.4,0,2,0,0.0,4.74,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,45af8a54
30,Iago Aspas,es ESP,FW,Celta Vigo,35-075,1987,7.2,5,14,7,50.0,1.95,0.98,0.29,0.57,18.0,1,1,1,2.3,1.5,0.11,+2.7,+2.5,Matches,7dcf86f6
31,Pierre-Emerick Aubameyang,ga GAB,DF,Barcelona,33-119,1989,0.1,0,1,0,0.0,10.00,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,d5dd5f1f
32,Ezequiel Ávila,ar ARG,FWMF,Osasuna,28-251,1994,4.8,3,16,5,31.3,3.35,1.05,0.13,0.40,20.0,0,1,2,3.0,1.5,0.09,0.0,+0.5,Matches,253a06b9
33,Iddrisu Baba,gh GHA,MF,Mallorca,26-266,1996,2.6,0,1,0,0.0,0.39,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bfd381b3
34,Srđan Babić,rs SRB,DF,Almería,26-176,1996,8.0,1,2,2,100.0,0.25,0.25,0.50,0.50,6.5,0,0,0,0.3,0.3,0.15,+0.7,+0.7,Matches,075fe5a3
35,Édgar Badía,es ESP,GK,Elche,30-245,1992,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e4346678
36,Alex Baena,es ESP,MFFW,Villarreal,21-087,2001,3.5,3,10,6,60.0,2.89,1.74,0.30,0.50,17.4,0,0,0,1.2,1.2,0.14,+1.8,+1.8,Matches,518f2234
37,Alejandro Balde,es ESP,DFFW,Barcelona,18-362,2003,6.1,0,2,0,0.0,0.33,0.00,0.00,,27.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,5ccc9672
38,Iván Balliu,al ALB,DF,Rayo Vallecano,30-287,1992,9.0,0,2,0,0.0,0.22,0.00,0.00,,14.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,cee88597
39,Léo Baptistão,br BRA,FW,Almería,30-050,1992,2.2,0,6,1,16.7,2.69,0.45,0.00,0.00,16.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,35f6db55
