Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Liel Abada,il ISR,FW,sct Celtic,21-011,2001,1.0,0,2,1,50.0,1.98,0.99,0.00,0.00,18.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,1339039e
2,Oliver Abildgaard,dk DEN,MF,sct Celtic,26-126,1996,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f5cdf66
3,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24-170,1998,2.7,0,8,1,12.5,2.99,0.37,0.00,0.00,25.8,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,f417a1fa
4,Francesco Acerbi,it ITA,DF,it Inter,34-246,1988,1.2,0,2,1,50.0,1.62,0.81,0.00,0.00,6.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches,b96b595c
5,Marcos Acuña,ar ARG,DF,es Sevilla,30-351,1991,1.8,0,1,0,0.0,0.56,0.00,0.00,,25.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,81442ecb
6,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,21-130,2001,0.7,0,1,0,0.0,1.43,0.00,0.00,,7.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,82e12fe7
7,Antonio Adán,es ESP,GK,pt Sporting CP,35-154,1987,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,65d62814
8,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31-138,1991,3.7,0,5,1,20.0,1.35,0.27,0.00,0.00,16.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,ee926a02
9,Karim Adeyemi,de GER,MFFW,de Dortmund,20-269,2002,1.5,1,3,1,33.3,1.99,0.66,0.33,1.00,18.8,0,0,0,0.6,0.6,0.19,+0.4,+0.4,Matches,501055d8
10,Amine Adli,fr FRA,FWMF,de Leverkusen,22-157,2000,0.8,0,3,1,33.3,3.60,1.20,0.00,0.00,14.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,dcfb17f4
11,Manuel Akanji,ch SUI,DF,eng Manchester City,27-087,1995,3.0,0,1,0,0.0,0.33,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,89ac64a6
12,Nathan Aké,nl NED,DF,eng Manchester City,27-238,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eaeca114
13,David Alaba,at AUT,DF,es Real Madrid,30-112,1992,3.1,0,1,0,0.0,0.32,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,05439de2
14,Lucas Alario,ar ARG,FW,de Eint Frankfurt,30-006,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,834d0be5
15,Jordi Alba,es ESP,DF,es Barcelona,33-207,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4601e194
16,Thiago Alcántara,es ESP,MF,eng Liverpool,31-186,1991,2.4,0,2,1,50.0,0.82,0.41,0.00,0.00,25.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,77e84962
17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,24-007,1998,3.0,1,7,4,57.1,2.34,1.34,0.14,0.25,21.5,2,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,cd1acf9d
18,Sotiris Alexandropoulos,gr GRE,MF,pt Sporting CP,20-322,2001,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,30.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,4288f249
19,Faride Alidou,de GER,DF,de Eint Frankfurt,21-088,2001,0.2,1,2,2,100.0,8.57,8.57,0.50,0.50,13.0,0,0,0,0.2,0.2,0.10,+0.8,+0.8,Matches,00f518d8
20,Alisson,br BRA,GK,eng Liverpool,30-012,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
21,Marcos Alonso,es ESP,DF,es Barcelona,31-290,1990,2.5,0,2,0,0.0,0.81,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,f4290206
22,Éder Álvarez Balanta,co COL,MF,be Club Brugge,29-228,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8ce30c57
23,Edson Álvarez,mx MEX,MF,nl Ajax,24-355,1997,4.0,1,6,1,16.7,1.51,0.25,0.17,1.00,12.4,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches,8b3ab7ad
24,Julián Álvarez,ar ARG,FW,eng Manchester City,22-256,2000,2.6,1,8,3,37.5,3.08,1.15,0.13,0.33,11.5,0,0,0,1.5,1.5,0.18,-0.5,-0.5,Matches,15ab5a2b
25,Nadiem Amiri,de GER,MFDF,de Leverkusen,25-352,1996,0.2,0,1,0,0.0,5.00,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,555d5edd
26,Robert Andrich,de GER,MF,de Leverkusen,28-022,1994,2.5,1,4,1,25.0,1.59,0.40,0.25,1.00,21.0,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,e0b113a7
27,Peter Ankersen,dk DEN,DF,dk FC Copenhagen,32-022,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,df525574
28,Charles Aránguiz,cl CHI,MF,de Leverkusen,33-180,1989,2.4,0,1,0,0.0,0.42,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,56413b1f
29,Ronald Araújo,uy URU,DF,es Barcelona,23-221,1999,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2bef2bca
30,Scott Arfield,ca CAN,MF,sct Rangers,33-347,1988,1.8,1,4,2,50.0,2.24,1.12,0.25,0.50,16.9,0,0,0,0.5,0.5,0.14,+0.5,+0.5,Matches,b1313ec4
31,Hákon Arnar Haraldsson,is ISL,FWMF,dk FC Copenhagen,19-187,2003,1.5,0,3,0,0.0,1.97,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,e2ae54db
32,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,28-011,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28d596a0
33,Arthur,br BRA,FW,pt Sporting CP,24-103,1998,0.0,1,1,1,100.0,90.00,90.00,1.00,1.00,7.1,0,0,0,0.2,0.2,0.23,+0.8,+0.8,Matches,184ad240
34,Marco Asensio,es ESP,FWMF,es Real Madrid,26-266,1996,0.8,1,5,2,40.0,6.25,2.50,0.20,0.50,15.7,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches,45af8a54
35,Kristjan Asllani,al ALB,MF,it Inter,20-219,2002,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,7.3,0,0,0,0.5,0.5,0.49,-0.5,-0.5,Matches,0fdcef0e
36,Omer Atzili,il ISR,FWMF,il Maccabi Haifa,29-079,1993,2.4,2,13,6,46.2,5.42,2.50,0.15,0.33,20.8,1,0,0,0.6,0.6,0.05,+1.4,+1.4,Matches,92fffd91
